sentence_id,words,labelp,labeln,pos_tag
12,text,O,O,NN
12,with,O,O,IN
12,neural,O,O,JJ
12,networks,O,O,NNS
12,",",O,O,","
12,which,O,O,WDT
12,is,O,O,VBZ
12,denoted,B,O,VBN
12,as,I,O,IN
12,the,O,O,DT
12,Neural,O,B,NNP
12,Question,O,I,NNP
12,Generation,O,I,NNP
12,(,O,I,(
12,NQG,O,I,NNP
12,),O,I,)
12,framework,O,I,NN
12,",",O,O,","
12,to,B,O,TO
12,generate,I,O,VB
12,natural,O,B,JJ
12,language,O,I,NN
12,questions,O,I,NNS
12,from,O,I,IN
12,text,O,I,NN
12,without,B,O,IN
12,pre-defined,O,B,JJ
12,rules,O,I,NNS
12,.,O,O,.
13,The,O,O,DT
13,Neural,O,B,NNP
13,Question,O,I,NNP
13,Generation,O,I,NNP
13,framework,O,I,NN
13,extends,B,O,VBZ
13,the,O,O,DT
13,sequence,O,B,NN
13,-,O,I,:
13,to,O,I,TO
13,-,O,I,:
13,sequence,O,I,NN
13,models,O,I,NNS
13,by,B,O,IN
13,enriching,I,O,VBG
13,the,O,O,DT
13,encoder,O,B,NN
13,with,B,O,IN
13,answer,O,B,NN
13,and,O,O,CC
13,lexical,O,B,JJ
13,features,O,I,NNS
13,to,B,O,TO
13,generate,I,O,VB
13,answer,O,B,NN
13,focused,O,I,JJ
13,questions,O,I,NNS
13,.,O,O,.
14,Concretely,O,O,RB
14,",",O,O,","
14,the,O,O,DT
14,encoder,O,B,NN
14,reads,B,O,VBZ
14,not,O,O,RB
14,only,O,O,RB
14,the,O,O,DT
14,input,O,B,NN
14,sentence,O,I,NN
14,",",O,O,","
14,but,O,O,CC
14,also,O,O,RB
14,the,O,O,DT
14,answer,O,B,JJR
14,position,O,I,NN
14,indicator,O,I,NN
14,and,O,O,CC
14,lexical,O,B,JJ
14,features,O,I,NNS
14,.,O,O,.
15,The,O,O,DT
15,answer,O,B,JJR
15,position,O,I,NN
15,feature,O,I,NN
15,denotes,B,O,VBZ
15,the,O,O,DT
15,answer,O,B,NN
15,span,O,I,NN
15,in,B,O,IN
15,the,O,O,DT
15,input,O,B,NN
15,sentence,O,I,NN
15,",",O,O,","
15,which,O,O,WDT
15,is,O,O,VBZ
15,essential,O,O,JJ
15,to,O,O,TO
15,generate,O,O,VB
15,answer,O,O,NN
15,relevant,O,O,JJ
15,questions,O,O,NNS
15,.,O,O,.
16,The,O,O,DT
16,lexical,O,B,JJ
16,features,O,I,NNS
16,include,B,O,VBP
16,part,O,B,NN
16,-,O,I,:
16,of,O,I,IN
16,-,O,I,:
16,speech,O,I,NN
16,(,O,I,(
16,POS,O,I,NNP
16,),O,I,)
16,and,O,O,CC
16,named,O,B,VBN
16,entity,O,I,NN
16,(,O,I,(
16,NER,O,I,NNP
16,),O,I,)
16,tags,O,I,VBZ
16,to,B,O,TO
16,help,I,O,VB
16,produce,I,O,VB
16,better,O,B,JJR
16,sentence,O,I,NN
16,encoding,O,I,NN
16,.,O,O,.
17,Lastly,O,O,RB
17,",",O,O,","
17,the,O,O,DT
17,decoder,O,B,NN
17,with,B,O,IN
17,attention,O,B,NN
17,mechanism,O,I,NN
17,generates,B,O,VBZ
17,an,O,O,DT
17,answer,O,B,NN
17,specific,O,I,JJ
17,question,O,I,NN
17,of,B,O,IN
17,the,O,O,DT
17,sentence,O,B,NN
17,.,O,O,.
18,PCFG,O,B,NNP
18,-,O,I,:
18,Trans,O,I,NNS
19,The,O,O,DT
19,rule,O,B,NN
19,-,O,I,:
19,based,O,I,VBN
19,system,O,I,NN
19,1,O,O,CD
19,modified,O,O,VBN
19,on,O,O,IN
19,the,O,O,DT
19,code,O,O,NN
19,released,O,O,VBN
19,by,O,O,IN
19,.,O,O,.
20,s,O,B,RB
20,2,O,I,CD
20,s+,O,I,NNS
20,att,O,I,NN
21,We,O,O,PRP
21,implement,B,O,VBP
21,a,O,O,DT
21,seq2seq,O,B,NN
21,with,O,I,IN
21,attention,O,I,NN
21,as,O,O,IN
21,the,O,O,DT
21,baseline,O,O,NN
21,method,O,O,NN
21,.,O,O,.
22,NQG,O,B,NN
23,We,O,O,PRP
23,extend,B,O,VBP
23,the,O,O,DT
23,s,O,B,NN
23,2s+,O,I,CD
23,att,O,I,NN
23,with,B,O,IN
23,our,O,O,PRP$
23,feature,O,B,NN
23,-,O,I,:
23,rich,O,I,JJ
23,encoder,O,I,NN
23,to,B,O,TO
23,build,I,O,VB
23,the,O,O,DT
23,NQG,O,B,NNP
23,system,O,I,NN
23,.,O,O,.
24,NQG,O,B,NNP
24,+,O,I,NNP
24,Based,O,O,VBD
24,on,O,O,IN
24,NQG,O,O,NNP
24,",",O,O,","
24,we,O,O,PRP
24,incorporate,B,O,VBP
24,copy,O,B,JJ
24,mechanism,O,I,NN
24,to,O,O,TO
24,deal,B,O,VB
24,with,I,O,IN
24,rare,O,B,JJ
24,words,O,I,NNS
24,problem,O,I,NN
24,.,O,O,.
25,NQG,O,B,NNP
25,+,O,I,NNP
25,Pretrain,O,I,NNP
25,Based,B,O,VBD
25,on,I,O,IN
25,NQG,O,B,NNP
25,+,O,I,NNP
25,",",O,O,","
25,we,O,O,PRP
25,initialize,B,O,VBP
25,the,O,O,DT
25,word,O,B,NN
25,embedding,O,I,VBG
25,matrix,O,I,NN
25,with,B,O,IN
25,pre-trained,O,B,JJ
25,GloVe,O,I,NNP
25,vectors,O,I,NNS
25,.,O,O,.
26,NQG,O,B,NNP
26,+,O,I,NNP
26,STshare,O,I,NNP
26,Based,B,O,VBD
26,on,I,O,IN
26,NQG,O,B,NNP
26,+,O,I,NNP
26,",",O,O,","
26,we,O,O,PRP
26,make,B,O,VBP
26,the,O,O,DT
26,encoder,O,B,NN
26,and,O,I,CC
26,decoder,O,I,NN
26,share,B,O,NN
26,the,O,O,DT
26,same,O,B,JJ
26,embedding,O,I,NN
26,matrix,O,I,NN
26,.,O,O,.
27,NQG,O,B,NNP
27,++,O,I,NN
28,Based,B,O,VBN
28,on,I,O,IN
28,NQG,O,B,NNP
28,+,O,I,NNP
28,",",O,O,","
28,we,O,O,PRP
28,use,B,O,VBP
28,both,O,O,DT
28,pre-train,O,B,JJ
28,word,O,I,NN
28,embedding,O,I,NN
28,and,O,I,CC
28,STshare,O,I,NNP
28,methods,O,I,NNS
28,",",O,O,","
28,to,B,O,TO
28,further,I,O,RBR
28,improve,I,O,VB
28,the,O,O,DT
28,performance,O,B,NN
28,.,O,O,.
29,Our,O,O,PRP$
29,NQG,O,B,NNP
29,framework,O,I,NN
29,outperforms,B,O,VBZ
29,the,O,O,DT
29,PCFG,O,B,NNP
29,-,O,I,:
29,Trans,O,I,NNPS
29,and,O,I,CC
29,s,O,I,VB
29,2s,O,I,CD
29,+,O,I,NNP
29,att,O,I,NN
29,baselines,O,I,NNS
29,by,B,O,IN
29,a,O,O,DT
29,large,O,B,JJ
29,margin,O,I,NN
29,.,O,O,.
30,With,B,O,IN
30,the,I,O,DT
30,help,I,O,NN
30,of,I,O,IN
30,copy,O,B,NN
30,mechanism,O,I,NN
30,",",O,O,","
30,NQG,O,B,NNP
30,+,O,I,NNP
30,has,O,O,VBZ
30,a,O,O,DT
30,2.05,O,B,CD
30,BLEU,O,I,NNP
30,improvement,O,I,NN
30,since,O,O,IN
30,it,O,O,PRP
30,solves,O,O,VBZ
30,the,O,O,DT
30,rare,O,O,JJ
30,words,O,O,NNS
30,problem,O,O,NN
30,.,O,O,.
31,The,O,O,DT
31,extended,O,O,JJ
31,version,O,O,NN
31,",",O,O,","
31,NQG,O,B,NNP
31,++,O,I,NNP
31,",",O,O,","
31,has,O,O,VBZ
31,1.11,O,B,CD
31,BLEU,O,I,NNP
31,score,O,I,RB
31,gain,O,I,NN
31,over,B,O,IN
31,NQG,O,B,NNP
31,+,O,I,NNP
31,",",O,O,","
31,which,O,O,WDT
31,shows,O,O,VBZ
31,that,O,O,IN
31,initializing,O,O,VBG
31,with,O,O,IN
31,pre-trained,O,O,JJ
31,word,O,O,NN
31,vectors,O,O,NNS
31,and,O,O,CC
31,sharing,O,O,VBG
31,them,O,O,PRP
31,between,O,O,IN
31,encoder,O,O,NN
31,and,O,O,CC
31,decoder,O,O,NN
31,help,O,O,NN
31,learn,O,O,VB
31,better,O,O,JJR
31,word,O,O,NN
31,representation,O,O,NN
31,.,O,O,.
32,The,O,O,DT
32,answer,O,B,JJR
32,position,O,I,NN
32,indicator,O,I,NN
32,",",O,O,","
32,as,O,O,IN
32,expected,O,O,VBN
32,",",O,O,","
32,plays,B,O,VBZ
32,a,O,O,DT
32,crucial,O,B,JJ
32,role,O,I,NN
32,in,B,O,IN
32,answer,O,B,NN
32,focused,O,I,VBN
32,question,O,I,NN
32,generation,O,I,NN
32,as,O,O,IN
32,shown,O,O,VBN
32,in,O,O,IN
32,the,O,O,DT
32,NQG,O,O,NNP
32,?,O,O,.
33,NER,O,O,NNP
33,",",O,O,","
33,show,B,O,VBP
33,that,I,O,IN
33,word,O,B,NN
33,case,O,I,NN
33,",",O,I,","
33,POS,O,I,NNP
33,and,O,I,CC
33,NER,O,I,NNP
33,tag,O,I,NN
33,features,O,I,NNS
33,contributes,B,O,VBZ
33,to,I,O,TO
33,question,O,B,VB
33,generation,O,I,NN
33,.,O,O,.
34,Learning,O,O,VBG
34,Better,O,O,NNP
34,Internal,O,O,NNP
34,Structure,O,O,NNP
34,of,O,O,IN
34,Words,O,O,NNP
34,for,O,O,IN
34,Sequence,O,B,NNP
34,Labeling,O,I,NNP
35,Furthermore,O,O,RB
35,",",O,O,","
35,we,O,O,PRP
35,propose,B,O,VBP
35,IntNet,O,B,NNP
35,",",O,O,","
35,a,O,O,DT
35,funnel,O,B,NN
35,-,O,I,:
35,shaped,O,I,VBD
35,wide,O,I,JJ
35,convolutional,O,I,JJ
35,neural,O,I,JJ
35,network,O,I,NN
35,for,B,O,IN
35,learning,I,O,VBG
35,the,O,O,DT
35,internal,O,B,JJ
35,structure,O,I,NN
35,of,O,I,IN
35,words,O,I,NNS
35,by,B,O,IN
35,composing,I,O,VBG
35,their,O,O,PRP$
35,characters,O,B,NNS
35,.,O,O,.
36,Unlike,O,O,IN
36,previous,O,O,JJ
36,CNN,O,O,NNP
36,-,O,O,:
36,based,O,O,VBN
36,approaches,O,O,NNS
36,",",O,O,","
36,our,O,O,PRP$
36,funnel,O,B,SYM
36,-,O,I,:
36,shaped,O,I,VBN
36,Int,O,I,NNP
36,-,O,I,:
36,Net,O,I,NN
36,explores,B,O,VBZ
36,deeper,O,B,JJR
36,and,O,I,CC
36,wider,O,I,JJR
36,architecture,O,I,NN
36,with,B,O,IN
36,no,I,O,DT
36,down,O,B,RP
36,-,O,I,:
36,sampling,O,I,NN
36,for,B,O,IN
36,learning,I,O,VBG
36,character,O,B,NN
36,-,O,I,:
36,to,O,I,TO
36,-,O,I,:
36,word,O,I,NN
36,representations,O,I,NNS
36,from,B,O,IN
36,limited,O,B,JJ
36,supervised,O,I,VBD
36,training,O,I,NN
36,corpora,O,I,NN
36,.,O,O,.
37,Lastly,O,O,RB
37,",",O,O,","
37,we,O,O,PRP
37,combine,B,O,VBP
37,our,O,O,PRP$
37,IntNet,O,B,NNP
37,model,O,I,NN
37,with,B,O,IN
37,LSTM,O,B,NNP
37,-,O,I,:
37,CRF,O,I,NNP
37,",",O,O,","
37,which,O,O,WDT
37,captures,B,O,VBZ
37,both,O,O,DT
37,word,O,B,NN
37,shape,O,I,NN
37,and,O,O,CC
37,context,O,B,NN
37,information,O,I,NN
37,",",O,O,","
37,and,O,O,CC
37,jointly,B,O,RB
37,decode,I,O,VB
37,tags,O,B,NNS
37,for,B,O,IN
37,sequence,O,B,NN
37,labeling,O,I,NN
37,.,O,O,.
38,The,O,O,DT
38,size,O,B,NN
38,of,B,O,IN
38,the,O,O,DT
38,dimensions,O,B,NNS
38,of,B,O,IN
38,character,O,B,NN
38,embeddings,O,I,NNS
38,is,B,O,VBZ
38,32,O,B,CD
38,which,O,O,WDT
38,are,B,O,VBP
38,randomly,O,B,RB
38,initialized,O,I,VBN
38,using,B,O,VBG
38,a,O,O,DT
38,uniform,O,B,JJ
38,distribution,O,I,NN
38,.,O,O,.
39,We,O,O,PRP
39,adopt,B,O,VBP
39,the,O,O,DT
39,same,O,B,JJ
39,initialization,O,I,NN
39,method,O,I,NN
39,for,B,O,IN
39,randomly,O,B,RB
39,initialized,O,I,VBN
39,word,O,I,NN
39,embeddings,O,I,NNS
39,that,O,O,WDT
39,are,O,O,VBP
39,updated,B,O,VBN
39,during,I,O,IN
39,training,O,B,NN
39,.,O,O,.
40,For,B,O,IN
40,IntNet,O,B,NNP
40,",",O,O,","
40,the,O,O,DT
40,filter,O,B,NN
40,size,O,I,NN
40,of,B,O,IN
40,the,O,O,DT
40,initial,O,B,JJ
40,convolution,O,I,NN
40,is,B,O,VBZ
40,32,O,B,CD
40,and,O,O,CC
40,that,O,O,DT
40,of,O,O,IN
40,other,O,B,JJ
40,convolutions,O,I,NNS
40,is,B,O,VBZ
40,16,O,B,CD
40,.,O,O,.
41,The,O,O,DT
41,number,O,B,NN
41,of,O,I,IN
41,convolutional,O,I,JJ
41,layers,O,I,NNS
41,are,B,O,VBP
41,5,O,B,CD
41,and,O,I,CC
41,9,O,I,CD
41,for,B,O,IN
41,IntNet,O,B,NNP
41,-,O,I,:
41,5,O,I,CD
41,and,O,I,CC
41,IntNet,O,I,NNP
41,-,O,I,:
41,9,O,I,CD
41,",",O,O,","
41,respectively,O,O,RB
41,",",O,O,","
41,and,O,O,CC
41,we,O,O,PRP
41,have,O,O,VBP
41,adopted,B,O,VBN
41,the,O,O,DT
41,same,O,B,JJ
41,weight,O,I,NN
41,initialization,O,I,NN
41,as,B,O,IN
41,that,O,O,DT
41,of,O,O,IN
41,ResNet,O,B,NNP
41,.,O,O,.
42,We,O,O,PRP
42,use,B,O,VBP
42,pre-trained,O,B,JJ
42,word,O,I,NN
42,embeddings,O,I,NNS
42,for,B,O,IN
42,initialization,O,B,NN
42,",",O,O,","
42,GloVe,O,B,NNP
42,100,O,I,CD
42,-,O,I,:
42,dimension,O,I,NN
42,word,O,I,NN
42,embeddings,O,I,NNS
42,for,B,O,IN
42,English,O,B,NNP
42,",",O,O,","
42,and,O,O,CC
42,fastText,O,B,JJ
42,300,O,I,CD
42,dimension,O,I,NN
42,word,O,I,NN
42,embeddings,O,I,NNS
42,for,B,O,IN
42,Spanish,O,B,JJ
42,",",O,I,","
42,Dutch,O,I,NNP
42,",",O,I,","
42,and,O,I,CC
42,German,O,I,NNP
42,.,O,O,.
43,The,O,O,DT
43,state,O,B,NN
43,size,O,I,NN
43,of,B,O,IN
43,the,O,O,DT
43,bi-directional,O,B,JJ
43,LSTMs,O,I,NNP
43,is,O,O,VBZ
43,set,B,O,VBN
43,to,I,O,TO
43,256,O,B,CD
43,.,O,O,.
44,We,O,O,PRP
44,adopt,O,O,VBP
44,standard,O,B,JJ
44,BIOES,O,I,NNP
44,tagging,O,I,VBG
44,scheme,O,I,NN
44,for,B,O,IN
44,NER,O,B,NNP
44,and,O,I,CC
44,Chunking,O,I,NNP
44,.,O,O,.
45,We,O,O,PRP
45,employ,B,O,VBP
45,mini-batch,O,B,JJ
45,stochastic,O,I,JJ
45,gradient,O,I,NN
45,descent,O,I,NN
45,with,B,O,IN
45,momentum,O,B,NN
45,.,O,O,.
46,0.05,O,B,CD
46,is,B,O,VBZ
46,the,O,O,DT
46,decay,O,B,NN
46,ratio,O,I,NN
46,",",O,O,","
46,the,O,O,DT
46,value,O,O,NN
46,of,O,O,IN
46,gradient,O,B,NN
46,clipping,O,I,NN
46,is,B,O,VBZ
46,5,O,B,CD
46,.,O,O,.
47,Dropout,O,B,NN
47,is,O,O,VBZ
47,applied,B,O,VBN
47,on,I,O,IN
47,the,O,O,DT
47,input,O,B,NN
47,of,B,O,IN
47,IntNet,O,B,NNP
47,",",O,I,","
47,LSTMs,O,I,NNP
47,",",O,I,","
47,and,O,I,CC
47,CRF,O,I,NNP
47,",",O,O,","
47,and,O,O,CC
47,its,O,O,PRP$
47,ratio,B,O,NN
47,0.5,O,B,CD
47,is,O,O,VBZ
47,fixed,O,O,VBN
47,",",O,O,","
47,but,O,O,CC
47,with,O,O,IN
47,no,O,O,DT
47,dropout,O,O,NN
47,inside,O,O,IN
47,of,O,O,IN
47,IntNet,O,O,NNP
47,.,O,O,.
48,Firstly,O,O,RB
48,",",O,O,","
48,we,O,O,PRP
48,use,B,O,VBP
48,LSTM,O,B,JJ
48,-,O,I,:
48,CRF,O,I,NN
48,with,B,O,IN
48,randomly,O,B,JJ
48,initialized,O,I,VBN
48,word,O,I,NN
48,embeddings,O,I,NNS
48,as,O,O,IN
48,our,O,O,PRP$
48,initial,O,O,JJ
48,baseline,O,O,NN
48,.,O,O,.
49,We,O,O,PRP
49,adopt,B,O,VBP
49,two,O,B,CD
49,state,O,I,NN
49,-,O,I,:
49,of,O,I,IN
49,-,O,I,:
49,the,O,I,DT
49,-,O,I,:
49,art,O,I,NN
49,methods,O,I,NNS
49,in,B,O,IN
49,sequence,O,B,NN
49,labeling,O,I,NN
49,",",O,O,","
49,denoted,B,O,VBN
49,as,I,O,IN
49,char,O,B,NN
49,-,O,I,:
49,LSTM,O,I,NNP
49,and,O,O,CC
49,char,O,B,SYM
49,-,O,I,:
49,CNN,O,I,NN
49,.,O,O,.
50,We,O,O,PRP
50,add,B,O,VBP
50,more,O,B,JJR
50,layers,O,I,NNS
50,to,B,O,TO
50,the,O,O,DT
50,char,O,B,NN
50,-,O,I,:
50,CNN,O,I,NNP
50,model,O,I,NN
50,and,O,O,CC
50,refer,B,O,NN
50,to,I,O,TO
50,that,O,O,DT
50,as,O,O,IN
50,char,O,B,NN
50,-,O,I,:
50,CNN,O,I,NNP
50,-,O,I,:
50,5,O,I,CD
50,and,O,I,CC
50,char,O,I,VB
50,-,O,I,:
50,CNN,O,I,NNP
50,-,O,I,:
50,9,O,I,CD
50,",",O,O,","
50,respectively,O,O,RB
50,for,B,O,IN
50,5,O,B,CD
50,and,O,I,CC
50,9,O,I,CD
50,convolutional,O,I,JJ
50,layers,O,I,NNS
50,.,O,O,.
51,Furthermore,O,O,RB
51,",",O,O,","
51,we,O,O,PRP
51,add,O,O,VBP
51,residual,O,B,JJ
51,connections,O,I,NNS
51,to,B,O,TO
51,the,O,O,DT
51,char,O,B,NN
51,-,O,I,:
51,CNN,O,I,NNP
51,-,O,I,:
51,9,O,I,CD
51,and,O,O,CC
51,refer,B,O,VB
51,it,I,O,PRP
51,as,I,O,IN
51,char,O,B,NN
51,-,O,I,:
51,ResNet,O,I,NN
51,.,O,O,.
52,Also,O,O,RB
52,",",O,O,","
52,we,O,O,PRP
52,apply,B,O,VBP
52,3,O,B,CD
52,dense,O,I,NN
52,blocks,O,I,NNS
52,based,B,O,VBN
52,on,I,O,IN
52,char,O,B,NN
52,-,O,I,:
52,ResNet,O,I,NN
52,which,O,O,WDT
52,we,O,O,PRP
52,refer,B,O,VBP
52,to,I,O,TO
52,as,I,O,IN
52,char,O,B,JJ
52,-,O,I,:
52,DenseNet,O,I,NN
52,",",O,O,","
52,to,O,O,TO
52,compare,O,O,VB
52,the,O,O,DT
52,difference,O,O,NN
52,between,O,O,IN
52,residual,O,O,JJ
52,connection,O,O,NN
52,and,O,O,CC
52,dense,O,O,NN
52,connection,O,O,NN
52,.,O,O,.
53,5,O,O,CD
53,Results,O,O,NNS
53,and,O,O,CC
53,Analysis,O,O,NNP
53,5.1,O,O,CD
53,Character,O,B,NNP
53,-,O,I,:
53,to,O,I,TO
53,-,O,I,:
53,word,O,I,NN
53,Models,O,I,NNP
53,presents,O,O,VBZ
53,the,O,O,DT
53,performance,O,O,NN
53,of,O,O,IN
53,different,O,O,JJ
53,character,O,O,NN
53,-,O,O,:
53,to,O,O,TO
53,-,O,O,:
53,word,O,O,NN
53,models,O,O,NNS
53,on,O,O,IN
53,six,O,O,CD
53,benchmark,O,O,JJ
53,datasets,O,O,NNS
53,.,O,O,.
54,The,O,O,DT
54,result,O,O,NN
54,shows,O,O,VBZ
54,that,O,O,IN
54,for,O,O,IN
54,most,O,O,JJS
54,of,O,O,IN
54,the,O,O,DT
54,datasets,O,O,NNS
54,",",O,O,","
54,the,O,O,DT
54,F1,O,B,NNP
54,score,O,I,NN
54,does,B,O,VBZ
54,not,I,O,RB
54,improve,O,B,VB
54,much,O,I,RB
54,when,B,O,WRB
54,we,O,O,PRP
54,directly,O,B,RB
54,add,O,I,VBP
54,more,O,B,JJR
54,layers,O,I,NNS
54,.,O,O,.
55,We,O,O,PRP
55,also,O,O,RB
55,observe,B,O,VBP
55,some,O,B,DT
55,accuracy,O,I,NN
55,drop,O,I,NN
55,when,B,O,WRB
55,we,O,O,PRP
55,continuously,O,B,RB
55,increase,O,I,VB
55,the,O,O,DT
55,depth,O,B,NN
55,.,O,O,.
56,Furthermore,O,O,RB
56,",",O,O,","
56,we,O,O,PRP
56,add,B,O,VBP
56,residual,O,B,JJ
56,connections,O,I,NNS
56,to,B,O,TO
56,char,O,B,VB
56,-,O,I,:
56,CNN,O,I,NNP
56,-,O,I,:
56,9,O,I,CD
56,as,B,O,IN
56,char,O,B,NN
56,-,O,I,:
56,ResNet,O,I,NNP
56,-,O,I,:
56,9,O,I,CD
56,",",O,O,","
56,which,O,O,WDT
56,confirms,B,O,VBZ
56,that,I,O,IN
56,residual,O,B,JJ
56,connections,O,I,NNS
56,can,O,O,MD
56,help,B,O,VB
56,train,I,O,VB
56,deep,O,B,JJ
56,layers,O,I,NNS
56,.,O,O,.
57,We,O,O,PRP
57,further,O,O,VBP
57,improve,B,O,VB
57,char,O,B,NN
57,-,O,I,:
57,ResNet,O,I,NNP
57,-,O,I,:
57,9,O,I,CD
57,by,B,O,IN
57,changing,I,O,VBG
57,residual,O,B,JJ
57,connections,O,I,NNS
57,into,B,O,IN
57,dense,O,B,JJ
57,connection,O,I,NN
57,blocks,O,I,NNS
57,as,B,O,IN
